LOAD CENTRE - A  GENERATOR PLANT| C110 ,,,,,,,,,,,,,,
ADDRESS ID,AREA ID,AL01DL01DRESS,ADDRESS LABEL, ROOM NO / ADDRESS LABEL, ROOM NO,ADDRESS LABEL,INTERFACE,,,,,,,
141,ZONE-16,N171L02D009,C110-GF-Y036-0202-SD-009,02-GF-CI-03 / CIRCULATION,02-GF-CI-03,CIRCULATION,,,,,,,,
142,ZONE-16,N171L02D010,C110-GF-Y036-0202-SD-010,02-GF-CI-03 / CIRCULATION,02-GF-CI-03,CIRCULATION,,,,,,,,
143,ZONE-16,N171L02M039,C110-GF-Y036-0202-MM-039,02-GF-CI-03 / CIRCULATION,02-GF-CI-03,CIRCULATION,,,,,,,,
144,ZONE-16,N171L02M040,C110-GF-Y036-0202-MM-040,02-GF-CI-03 / CIRCULATION,02-GF-CI-03,CIRCULATION,,,,,,,,
145,ZONE-16,N171L02M041,C110-GF-Y036-0202-MM-041,02-GF-CI-03 / CIRCULATION,02-GF-CI-03,CIRCULATION,,,,,,,,
146,ZONE-16,N171L02M042,C110-GF-Y036-0202-MM-042,02-GF-CI-03 / CIRCULATION,02-GF-CI-03,CIRCULATION,,,,,,,,
147,ZONE-16,N171L02D011,C110-GF-Y036-0202-SHD-011,02-GF-TR / AIR INTAKE PLENUM,02-GF-TR,AIR INTAKE PLENUM,,,,,,,,
148,ZONE-15,N171L02D045,C110-GF-Y036-0202-RM-045,02-GF-TR-27 / GENERATOR HALL,02-GF-TR-27,GENERATOR HALL,,,,,,,,
149,ZONE-15,N171L02D046,C110-GF-Y036-0202-RM-046,02-GF-TR-27 / GENERATOR HALL,02-GF-TR-27,GENERATOR HALL,,,,,,,,
150,ZONE-30,N171L02D012,C110-01-Y036-0202-SD-012,02-01-CI-04 / CIRCULATION,02-01-CI-04,CIRCULATION,,,,,,,,
151,ZONE-32,N171L02M047,C110-01-Y036-0202-MM-047,02-01-TR-06 / LV PANEL ROOM,02-01-TR-06,LV PANEL ROOM,,,,,,,,
152,ZONE-32,N171L02M048,C110-01-Y036-0202-MM-048,02-01-TR-06 / LV PANEL ROOM,02-01-TR-06,LV PANEL ROOM,,,,,,,,
153,ZONE-32,N171L02M049,C110-01-Y036-0202-MM-049,02-01-TR-06 / LV PANEL ROOM,02-01-TR-06,LV PANEL ROOM,,,,,,,,
154,ZONE-32,N171L02M050,C110-01-Y036-0202-MM-050,02-01-TR-06 / LV PANEL ROOM,02-01-TR-06,LV PANEL ROOM,,,,,,,,
155,ZONE-33,N171L02M051,C110-01-Y036-0202-MM-051,02-01-TR-07 / UPS & BATTERY,02-01-TR-07,UPS & BATTERY,,,,,,,,
156,ZONE-33,N171L02M052,C110-01-Y036-0202-MM-052,02-01-TR-07 / UPS & BATTERY,02-01-TR-07,UPS & BATTERY,,,,,,,,
157,ZONE-33,N171L02M053,C110-01-Y036-0202-MM-053,02-01-TR-07 / UPS & BATTERY,02-01-TR-07,UPS & BATTERY,,,,,,,,
158,ZONE-33,N171L02M054,C110-01-Y036-0202-MM-054,02-01-TR-07 / UPS & BATTERY,02-01-TR-07,UPS & BATTERY,,,,,,,,
159,ZONE-30,N171L02D013,C110-01-Y036-0202-SD-013,02-01-CI-04 / CIRCULATION,02-01-CI-04,CIRCULATION,,,,,,,,
160,ZONE-30,N171L02D014,C110-01-Y036-0202-SD-014,02-01-CI-04 / CIRCULATION,02-01-CI-04,CIRCULATION,,,,,,,,
